Business Date ,Store ID ,Net Sales 
1/1/2025,AE101     ,10840.59
1/1/2025,AE103     ,7957.91
1/1/2025,AE104     ,NULL
1/1/2025,AE105     ,1206.34
1/1/2025,AE106     ,1275.5
1/1/2025,AE107     ,611.12
1/1/2025,AE108     ,544.02
1/1/2025,AE109     ,1661.11
1/1/2025,AE110     ,0
1/1/2025,AZ102     ,0
1/1/2025,AZ103     ,2768.84
1/1/2025,AZ104     ,1106.1
1/1/2025,AZ105     ,1529.58
1/1/2025,CA101     ,0
1/1/2025,CA102     ,0
1/1/2025,CA103     ,0
1/1/2025,CA105     ,0
1/1/2025,CA106     ,3115.48
1/1/2025,CA108     ,1483.96
1/1/2025,CA109     ,2807.92
1/1/2025,CA110     ,2204.63
1/1/2025,CA111     ,3403.71
1/1/2025,CA112     ,2115.64
1/1/2025,CA114     ,0
1/1/2025,CA115     ,1754.97
1/1/2025,CA116     ,0
1/1/2025,CA117     ,0
1/1/2025,CA118     ,3014.19
1/1/2025,CA119     ,1641.55
1/1/2025,CA120     ,1414.47
1/1/2025,CA123     ,3145.32
1/1/2025,CA125     ,2953
1/1/2025,CA126     ,0
1/1/2025,CA128     ,1538.67
1/1/2025,CA129     ,3116.24
1/1/2025,CA130     ,2068.01
1/1/2025,CA131     ,2367.57
1/1/2025,CA132     ,809.86
1/1/2025,CA133     ,4489
1/1/2025,CA134     ,0
1/1/2025,CA136     ,2995.66
1/1/2025,CA137     ,3372.83
1/1/2025,CA140     ,0
1/1/2025,CA141     ,1930.41
1/1/2025,CA142     ,1631.6
1/1/2025,CA144     ,0
1/1/2025,CA145     ,2918.45
1/1/2025,CA146     ,0
1/1/2025,CA147     ,2406.68
1/1/2025,CA148     ,0
1/1/2025,CA150     ,0
1/1/2025,CA151     ,0
1/1/2025,CA153     ,0
1/1/2025,CA156     ,0
1/1/2025,CA157     ,0
1/1/2025,CA158     ,2570.41
1/1/2025,CA159     ,1621.88
1/1/2025,CA160     ,0
1/1/2025,CA161     ,1226.28
1/1/2025,CA162     ,0
1/1/2025,CA163     ,2146.42
1/1/2025,CA164     ,5061.81
1/1/2025,CA165     ,2232.29
1/1/2025,CA166     ,1427.18
1/1/2025,CA167     ,0
1/1/2025,CA168     ,2677.88
1/1/2025,CA169     ,2951.68
1/1/2025,CA170     ,3646.81
1/1/2025,CA171     ,0
1/1/2025,CA172     ,3048.21
1/1/2025,CA173     ,1326.54
1/1/2025,CA175     ,0
1/1/2025,CA176     ,1631.68
1/1/2025,CA177     ,3130.23
1/1/2025,CA178     ,2305.27
1/1/2025,CA179     ,3831.26
1/1/2025,CA180     ,0
1/1/2025,CA181     ,2166.77
1/1/2025,CA183     ,11.43
1/1/2025,CA184     ,465.85
1/1/2025,CA185     ,4103.73
1/1/2025,CA186     ,1982.73
1/1/2025,CA187     ,2800.89
1/1/2025,CA188     ,2503.95
1/1/2025,CA189     ,0
1/1/2025,CA191     ,0
1/1/2025,CA192     ,3924.68
1/1/2025,CA193     ,688.72
1/1/2025,CA194     ,3241.19
1/1/2025,CA195     ,2367.97
1/1/2025,CA197     ,0
1/1/2025,CA198     ,0
1/1/2025,CA200     ,2376.32
1/1/2025,CA201     ,2269.9
1/1/2025,CA202     ,1999.63
1/1/2025,CA203     ,0
1/1/2025,CA204     ,3695.67
1/1/2025,CA205     ,0
1/1/2025,CA206     ,2998.39
